# Emad Gianluca Corrado
# Nickname
# Dataset name
# Date: 27 Jan 2024
id,target_x,target_y,target_z
1,[8.782407760620117, 8.245796203613281, 18.934890747070312]
2,[8.542920112609863, -37.30641555786133, 33.22574996948242]
3,[9.07955265045166, 4.409709930419922, 19.03572654724121]
4,[-14.501893043518066, 8.133724212646484, 24.20462417602539]
5,[-49.91364288330078, 8.354207038879395, 30.995214462280273]
6,[8.751568794250488, 7.752884864807129, 11.678995132446289]
7,[8.869379997253418, 7.002847194671631, 11.492635726928711]
8,[7.900228500366211, 7.987173557281494, 5.017396926879883]
9,[4.178009033203125, 7.689173698425293, 4.468429088592529]
10,[-38.15118408203125, 7.979024410247803, 24.541471481323242]
11,[5.0760321617126465, 7.611234664916992, 10.394099235534668]
12,[7.811138153076172, -49.2188606262207, 10.699621200561523]
13,[-18.987821578979492, -46.18365478515625, 10.0956449508667]
14,[-27.569747924804688, -40.819847106933594, 7.495460510253906]
15,[-73.63179779052734, -3.6844441890716553, 12.985254287719727]
16,[7.340071678161621, -22.798961639404297, 3.7578938007354736]
17,[-17.4359130859375, -44.47752380371094, 3.060450315475464]
18,[6.175410270690918, -34.66181564331055, 30.699695587158203]
19,[8.391626358032227, 2.81115984916687, 8.675230026245117]
20,[6.613788604736328, -59.061859130859375, 7.176235198974609]
21,[-3.4429101943969727, -36.31912612915039, -2.308029890060425]
22,[7.404176712036133, -33.68999099731445, 14.266168594360352]
23,[-51.70508575439453, 8.62117862701416, 27.110349655151367]
24,[-73.63041687011719, 2.1455483436584473, 27.51297378540039]
25,[-5.942645072937012, -35.772361755371094, -2.3495075702667236]
26,[6.4322710037231445, -15.755290985107422, 2.8334455490112305]
27,[-3.337841510772705, -32.81903839111328, -1.9088134765625]
28,[0.3004424571990967, -78.11474609375, 21.793607711791992]
29,[6.0207414627075195, -15.765239715576172, 2.3973097801208496]
30,[6.410350322723389, 0.6030088663101196, 18.598819732666016]
31,[6.73353910446167, -18.145605087280273, 14.4176607131958]
32,[2.4655919075012207, 2.9869484901428223, 0.5909961462020874]
33,[3.550532102584839, 3.1296966075897217, -2.6233761310577393]
34,[-36.17254638671875, -49.18090057373047, -0.7826907634735107]
35,[-75.35215759277344, -9.609911918640137, 31.137964248657227]
36,[-40.41303634643555, -55.01651382446289, 12.478394508361816]
37,[-2.354419231414795, -74.5022201538086, 30.392656326293945]
38,[-52.4875373840332, -12.819514274597168, 20.575159072875977]
39,[-29.293989181518555, -61.0899658203125, 21.484010696411133]
40,[-16.939136505126953, -42.03142547607422, -12.780094146728516]
41,[-76.57486724853516, 7.190176963806152, 29.116966247558594]
42,[-1.9402222633361816, 1.1493479013442993, 11.306053161621094]
43,[-22.17841148376465, -40.22240447998047, -8.49614143371582]
44,[5.001751899719238, 0.2872382402420044, 9.778029441833496]
45,[-20.708967208862305, -46.26383590698242, -9.27703857421875]
46,[1.4854717254638672, -4.3171868324279785, 22.676979064941406]
47,[-24.95111846923828, -39.58588409423828, -5.728025913238525]
